user_id,timestamp,hour_of_access,transaction_amount,data_volume_mb,geo_delta_km,is_anomaly
1088,2026-03-01 00:02:00,0,203.25,5.05,11.48,0
1056,2026-03-01 00:05:00,0,69.43,15.16,1.83,0
1020,2026-03-01 00:10:00,0,38.98,3.97,4.69,0
1044,2026-03-01 00:12:00,0,1213.41,1.91,4.77,0
1004,2026-03-01 00:15:00,0,94.38,7.6,15.02,0
1026,2026-03-01 00:16:00,0,27.1,8.03,13.67,0
1089,2026-03-01 00:19:00,0,176.68,8.72,18.09,0
1024,2026-03-01 00:20:00,0,45.65,4.95,5.6,0
1051,2026-03-01 00:22:00,0,43621.3,7.13,2717.76,1
1093,2026-03-01 00:26:00,0,20.45,1.82,13.64,0
1056,2026-03-01 00:27:00,0,15.06,1.74,0.81,0
1012,2026-03-01 00:36:00,0,24.9,8.0,8.8,0
1067,2026-03-01 00:37:00,0,25.21,1.85,4.81,0
1087,2026-03-01 00:37:00,0,21.21,1.93,1.4,0
1052,2026-03-01 00:42:00,0,104.11,34.77,1.15,0
1056,2026-03-01 00:45:00,0,658.28,7.52,0.74,0
1066,2026-03-01 00:48:00,0,120.21,5.3,0.31,0
1021,2026-03-01 00:50:00,0,126.86,11.7,1.74,0
1061,2026-03-01 00:51:00,0,22.58,1.84,47.89,0
1045,2026-03-01 00:55:00,0,35.91,14.4,7.27,0
1011,2026-03-01 00:56:00,0,45.31,9.54,3.47,0
1013,2026-03-01 00:56:00,0,64.02,2.95,3.18,0
1093,2026-03-01 00:58:00,0,97.9,12.4,8.98,0
1054,2026-03-01 01:04:00,1,138.3,34.8,1.01,0
1000,2026-03-01 01:13:00,1,52.6,90.07,1.65,0
1081,2026-03-01 01:19:00,1,31.18,2.8,1.51,0
1034,2026-03-01 01:27:00,1,44.5,11.6,8.59,0
1060,2026-03-01 01:33:00,1,113.71,18.9,7.12,0
1058,2026-03-01 01:34:00,1,34.66,30.33,9.5,0
1032,2026-03-01 01:46:00,1,277.69,23.91,0.95,0
1024,2026-03-01 01:46:00,1,206.23,11.37,64.12,0
1043,2026-03-01 01:51:00,1,22.03,27.3,15.6,0
1036,2026-03-01 02:09:00,2,42.8,4.64,26.07,0
1044,2026-03-01 02:11:00,2,107.36,10.06,7.07,0
1014,2026-03-01 02:12:00,2,27.53,1.8,29.51,0
1091,2026-03-01 02:28:00,2,81.08,39.04,8.59,0
1003,2026-03-01 02:31:00,2,22.89,2.55,8.31,0
1058,2026-03-01 02:40:00,2,73.15,14.48,9.97,0
1091,2026-03-01 02:44:00,2,103.25,1.71,5.86,0
1077,2026-03-01 02:49:00,2,123.95,13.28,7.49,0
1027,2026-03-01 02:58:00,2,131.77,1.99,3.4,0
1039,2026-03-01 02:59:00,2,176.18,18.2,4.98,0
1073,2026-03-01 03:03:00,3,39.34,18.89,9.23,0
1022,2026-03-01 03:04:00,3,60.06,8.65,1.53,0
1090,2026-03-01 03:25:00,3,223.04,2.18,33.33,0
1053,2026-03-01 03:29:00,3,67.56,8.05,0.56,0
1083,2026-03-01 03:31:00,3,185.78,4.71,12.74,0
1009,2026-03-01 03:56:00,3,225.96,10.01,14.26,0
1051,2026-03-01 03:58:00,3,25.34,5.39,8.86,0
1027,2026-03-01 04:04:00,4,32.02,0.77,1.73,0
1031,2026-03-01 04:06:00,4,96.71,16.14,6.22,0
1021,2026-03-01 04:06:00,4,56.22,3.57,26.16,0
